,customer_id,rcpt_domain_legacy_isp,rcpt_domain_other,total_injection_count,total_injection_count_tracked,complaint_count,trap_count,open_count,admin_csl_bounce,admin_gsl_bounce,admin_other_bounce,block_bounce,dns_failure_bounce,generic_bounce,hard_bounce,mailbox_full_bounce,other_bounce,smart_send_suppression_bounce,soft_bounce,timeout_bounce,too_large_bounce,transient_failure_bounce,undetermined_bounce,rcpt_domain_legacy_isp_percent,rcpt_domain_other_percent,total_injection_count_tracked_percent,complaint_count_percent,trap_count_percent,open_count_percent,admin_csl_bounce_percent,admin_gsl_bounce_percent,admin_other_bounce_percent,block_bounce_percent,dns_failure_bounce_percent,generic_bounce_percent,hard_bounce_percent,mailbox_full_bounce_percent,other_bounce_percent,smart_send_suppression_bounce_percent,soft_bounce_percent,timeout_bounce_percent,too_large_bounce_percent,transient_failure_bounce_percent,undetermined_bounce_percent,terminated
166,166,,4668,4668,0,23,,,,,,,,,239,,,,,,,,98,0,1,0,0.004927164,0,0,0,0,0,0,0,0,0.051199657,0,0,0,0,0,0,0,0.020994002,TRUE
167,167,29,128863,128892,128676,,,11823,1,,,25,,,242,77,,,,,,,7,0.000224995,0.999775005,0.998324178,0,0,0.091727958,7.76E-06,0,0,0.000193961,0,0,0.001877541,0.000597399,0,0,0,0,0,0,5.43E-05,TRUE
168,168,,2182,2182,0,,,,,,,297,,,88,,,,,,,,2,0,1,0,0,0,0,0,0,0,0.136113657,0,0,0.040329973,0,0,0,0,0,0,0,0.00091659,FALSE
169,169,47467,401428,448895,0,80,284,27604,,,3,8791,4,3,62,73,4,,,81882,,33,194,0.105741877,0.894258123,0,0.000178215,0.000632665,0.061493222,0,0,6.68E-06,0.019583644,8.91E-06,6.68E-06,0.000138117,0.000162622,8.91E-06,0,0,0.182407913,0,7.35E-05,0.000432172,TRUE
170,170,2,137174,137176,0,3,143,,196,1707,,21717,33,13,9797,408,,,,512,,29398,21,1.46E-05,0.99998542,0,2.19E-05,0.001042456,0,0.001428821,0.012443868,0,0.158314866,0.000240567,9.48E-05,0.071419199,0.002974281,0,0,0,0.003732431,0,0.214308625,0.000153088,FALSE
171,171,12,11154,11166,11166,2,7,332,271,115,,136,30,1,2309,14,,,,2,1,1,81,0.001074691,0.998925309,1,0.000179115,0.000626903,0.029733118,0.024270106,0.010299122,0,0.012179832,0.002686728,8.96E-05,0.206788465,0.001253806,0,0,0,0.000179115,8.96E-05,8.96E-05,0.007254164,TRUE
172,172,567,16574,17141,0,1,1,,,,,13,,,608,5,,,,4330,,,,0.033078584,0.966921416,0,5.83E-05,5.83E-05,0,0,0,0,0.000758415,0,0,0.035470509,0.000291698,0,0,0,0.252610699,0,0,0,TRUE
173,173,,1930,1930,1930,,,2435,23,,,,,,2,,,,,,,,,0,1,1,0,0,1.261658031,0.011917098,0,0,0,0,0,0.001036269,0,0,0,0,0,0,0,0,FALSE
174,174,9,6211,6220,6220,,,2671,12,,,10,,,,,,,,,,,6,0.001446945,0.998553055,1,0,0,0.429421222,0.00192926,0,0,0.001607717,0,0,0,0,0,0,0,0,0,0,0.00096463,FALSE
175,175,8,3301,3309,0,1,4,,,,1,68,3,9,203,4,,,,8,,1,23,0.002417649,0.997582351,0,0.000302206,0.001208824,0,0,0,0.000302206,0.020550015,0.000906618,0.002719855,0.061347839,0.001208824,0,0,0,0.002417649,0,0.000302206,0.00695074,FALSE
